movie_id,title,genre,imdb
tt0290326,Tum Bin...: Love Will Find a Way,"Drama,Romance",7.6
tt0290334,X2: X-Men United,"Action,Sci-Fi,Thriller",7.4
tt0290661,Dog Days,Drama,7.0
tt0290673,Irreversible,"Crime,Drama,Mystery",7.3
tt0291003,Behind the Sun,Drama,7.6
tt0291032,Balzac and the Little Chinese Seamstress,"Biography,Drama,Romance",7.2
tt0291131,The Devils,Drama,7.0
tt0291172,The Son,"Drama,Mystery",7.5
tt0291350,Millennium Actress,"Animation,Drama,Fantasy",7.8
tt0291376,Nayak: The Real Hero,"Action,Drama,Thriller",7.8
tt0291400,Monsieur Batignole,"Comedy,Drama,War",7.0
tt0291579,"He Loves Me, He Loves Me Not","Romance,Thriller",7.1
tt0291988,Intimate Stories,"Comedy,Drama",7.4
tt0292066,Lan Yu,"Drama,Romance",7.2
tt0292242,Solino,"Comedy,Drama",7.3
tt0292432,Absolute Hundred,"Action,Crime,Drama",7.5
tt0292490,Dil Chahta Hai,"Comedy,Drama,Romance",8.0
tt0292542,Son of the Bride,"Comedy,Drama",7.8
tt0292963,Before the Devil Knows You're Dead,"Crime,Drama,Thriller",7.3
tt0293007,Carandiru,"Crime,Drama",7.6
tt0293088,Devil's Playground,Documentary,7.0
tt0293416,Metropolis,"Adventure,Animation,Drama",7.2
tt0293508,The Phantom of the Opera,"Drama,Musical,Romance",7.2
tt0293664,Get Down,"Drama,Thriller",7.2
tt0293715,My Sassy Girl,"Comedy,Drama,Romance",7.9
tt0294264,Aalavandhan,"Action,Crime,Thriller",7.2
tt0295192,One Fine Spring Day,"Drama,Romance",7.0
tt0295297,Harry Potter and the Chamber of Secrets,"Adventure,Family,Fantasy",7.5
tt0295671,One Man Up,"Comedy,Drama",7.1
tt0295876,Beneath Clouds,"Drama,Romance",7.0
tt0296574,Company,"Action,Crime,Drama",7.9
tt0296658,Take Care of My Cat,Drama,7.1
tt0296915,Valentin,"Comedy,Drama,Romance",7.5
tt0297213,The Rage,"Action,Drama",7.3
tt0297247,Labyrinth,"Adventure,Mystery,Thriller",7.0
tt0297721,All About Lily Chou-Chou,"Crime,Drama,Music",7.5
tt0297741,Argo,"Action,Comedy",7.0
tt0297865,Drive,"Comedy,Crime,Drama",7.0
tt0297884,Far from Heaven,"Drama,Romance",7.3
tt0298130,The Ring,"Horror,Mystery",7.1
tt0298148,Shrek 2,"Adventure,Animation,Comedy",7.4
tt0298203,8 Mile,"Drama,Music",7.2
tt0298228,Whale Rider,"Drama,Family",7.5
tt0298514,Ravanaprabhu,"Action,Drama,Romance",7.2
tt0298780,"Big Man, Little Love",Drama,7.6
tt0298845,In America,Drama,7.6
tt0298856,Evelyn,Drama,7.0
tt0298954,Crying... Silicon Tears,"Comedy,Musical",7.6
tt0299108,Rehnaa Hai Terre Dil Mein,"Comedy,Drama,Musical",7.5
tt0299213,Waterboys,"Comedy,Sport",7.1
tt0299658,Chicago,"Comedy,Crime,Musical",7.2
tt0299937,Go,"Drama,Romance",7.4
tt0299977,Hero,"Action,Adventure,Drama",7.9
tt0300140,Lilya 4-Ever,"Crime,Drama",7.8
tt0301083,Cardcaptor Sakura: The Sealed Card,"Adventure,Animation,Comedy",7.7
tt0301199,Dirty Pretty Things,"Crime,Drama,Thriller",7.2
tt0301357,Good Bye Lenin!,"Comedy,Drama,Romance",7.7
tt0301414,Man on the Train,"Crime,Drama,Thriller",7.1
tt0301555,God Grew Tired of Us,Documentary,7.9
tt0301634,Frozen Stiff,"Comedy,Drama",8.3
tt0301727,Winged Migration,Documentary,7.9
tt0301978,Ten,Drama,7.4
tt0302886,Old School,Comedy,7.0
tt0303243,Happy Times,"Comedy,Drama,Romance",7.3
tt0303325,Decasia,Documentary,7.2
tt0303353,The Kid Stays in the Picture,"Biography,Documentary",7.3
tt0303408,The Trespasser,"Drama,Thriller",7.1
tt0304126,Grill Point,"Comedy,Drama,Romance",7.1
tt0304141,Harry Potter and the Prisoner of Azkaban,"Adventure,Family,Fantasy",7.9
tt0304808,Ten Minutes Older: The Trumpet,Drama,7.1
tt0305206,American Splendor,"Biography,Comedy,Drama",7.4
tt0306359,Transistor Love Story,"Comedy,Drama,Musical",7.4
tt0306434,Aankhen,"Crime,Drama,Thriller",7.4
tt0306597,Brother to Brother,Drama,7.1
tt0306909,Public Enemy,"Action,Crime",7.1
tt0307197,Murder on a Sunday Morning,"Crime,Documentary",7.9
tt0307385,Rivers and Tides,Documentary,7.9
tt0307538,Swing,"Comedy,Drama,Music",7.2
tt0307681,I Not Stupid,"Comedy,Drama",7.2
tt0307901,25th Hour,Drama,7.6
tt0307920,What's Up with Cinta?,"Drama,Romance",7.7
tt0307987,Bad Santa,"Comedy,Crime,Drama",7.0
tt0308055,Bobby,"Biography,Drama,History",7.0
tt0308280,Friends,"Action,Comedy,Drama",7.9
tt0308476,The Cuckoo,"Comedy,Drama,War",7.7
tt0308508,Step Into Liquid,"Documentary,Sport",7.4
tt0308514,Lost in La Mancha,Documentary,7.3
tt0308644,Finding Neverland,"Biography,Drama,Family",7.6
tt0308808,Revolution OS,"Comedy,Documentary",7.2
tt0309047,War,"Action,Drama,War",7.5
tt0309061,War Photographer,"Documentary,War",7.9
tt0309150,DreamKeeper,"Drama,Fantasy",7.5
tt0309291,Blue Spring,Drama,7.2
tt0309565,Low Heights,"Action,Adventure,Thriller",7.2
tt0309698,Identity,"Mystery,Thriller",7.3
tt0309912,Nicholas Nickleby,"Adventure,Drama,Romance",7.1
tt0309987,The Dreamers,"Drama,Romance",7.1
tt0310154,In This World,Drama,7.3
tt0310203,Ruby & Quentin,"Comedy,Crime",7.1
tt0310281,A Mighty Wind,"Comedy,Music",7.2
tt0310775,Sympathy for Mr. Vengeance,"Crime,Drama,Thriller",7.5
tt0310793,Bowling for Columbine,"Crime,Documentary,Drama",8.0
tt0311041,Waiting Alone,"Comedy,Drama,Romance",7.3
tt0311072,En la ciudad sin límites,Drama,7.1
tt0311113,Master and Commander: The Far Side of the World,"Action,Adventure,Drama",7.5
